Total Generations, Worst Fitness, Best Fitness, Median Fitness, Mean Fitness, Kill Count
1,19.70707104525355,2.8861627422112504,7.663245769133486,8.388334614292551,0
2,16.466202390050274,2.289668885337336,4.599873793693105,5.387815979473452,0
3,21.50985383358553,1.8625123259013843,3.660628141003265,5.358381881632981,0
4,17.557986446727725,1.3992057483511842,3.2211206004096145,3.9486999464780084,0
5,19.172690898398763,1.3992057483511842,2.5683307158798887,3.812490127466474,0
6,18.987730024283877,0.9855332047204841,2.2910122305412375,2.681122979652725,0
7,7.673645656361353,0.9855332047204841,1.3992057483511842,1.7557523409417573,0
8,20.22198764725236,0.7360359101615703,1.3992057483511842,4.079517133108148,0
9,21.471743768618076,0.13343414872372827,1.3992057483511842,3.517414404833697,0
10,17.880337945512945,0.0861672156184845,0.9855332047204841,1.9860773492877282,0
11,19.457252517247333,0.0861672156184845,0.5817679805271934,1.0764499844761064,0
12,20.53034238663472,0.0861672156184845,0.13343414872372827,2.524073874665228,0
13,6.3700735573713345,0.07600821364520893,0.0861672156184845,0.2589066006079216,0
14,18.471631994201225,0.07249988915300198,0.0861672156184845,0.9263862332171364,0
15,1.8569071131406902,0.07210626273405074,0.08114901851810385,0.15051775642878268,0
16,19.200255848431027,0.07180122510702969,0.07600821364520893,1.4003392489068098,0
17,21.486867212884974,0.07176507069053839,0.07249988915300198,1.9681453607552535,0
18,16.100233650367276,0.07176507069053839,0.07210626273405074,0.6937886743255446,0
19,16.21697128915668,0.07176387094849401,0.07180122510702969,1.232027107971867,0
20,16.131411981849112,0.07174952548893465,0.07180122510702969,0.9605548698651456,0
21,11.709015811108824,0.07174747372662127,0.0717819970905591,0.8466472020796502,0
22,15.987785032523863,0.0717472130189587,0.07175614693461707,0.8806163833619169,0
23,18.764932120591595,0.0717472130189587,0.07175231087553646,1.3763620997868735,0
24,4.908318358226277,0.07174720163112625,0.07174952548893465,0.25258384470914935,0
25,20.503498656941993,0.07174709902303711,0.07174747372662127,2.074071443597785,0
26,13.491728785637733,0.07174709902303711,0.0717472130189587,0.8682485834951601,0
27,19.389081291378005,0.0717470949337553,0.07174715131501985,1.227592508920426,0
28,13.003117529646573,0.0717470949337553,0.07174710007988017,0.8084816481791618,0
29,6.373564589196535,0.0717470949337553,0.07174709902303711,0.4126969967477338,0
30,17.576479347942282,0.07174709492175202,0.0717470963523903,1.5647039065934438,0
31,11.310846426566933,0.07174709492175202,0.0717470949337553,0.7876637484442093,0
32,21.875306978359365,0.07174709492175202,0.0717470949337553,1.2642459260732608,0
33,6.7510226979991685,0.07174709492175202,0.0717470949337553,0.4582514375130903,0
34,15.882434952047227,0.07174709492175202,0.07174709493176001,1.1671477002240622,0
35,21.57444122714954,0.07174709492175202,0.07174709492662679,1.3630308141791398,0
36,18.219856385873733,0.07174709492175202,0.07174709492175202,1.158967314067473,0
37,19.06267063355352,0.07174709492175202,0.07174709492175202,2.1002010684617587,0
38,2.133926868083851,0.07174709492175202,0.07174709492175202,0.16730271726406812,0
39,19.484103858886588,0.07174709492175202,0.07174709492175202,3.190270545042396,0
