Total Generations, Worst Fitness, Best Fitness, Median Fitness, Mean Fitness
1,18.93791856037798,6.218572408840006,13.620649481558047,13.548076870222266
2,19.534517991238506,2.59374962447989,10.405307970303497,10.000148453594283
3,18.875532635370078,2.59374962447989,7.284752548208742,8.05037348449358
4,7.71706854499315,2.34581436478196,3.612655744220725,4.2764751657997
5,11.29728066696187,2.34581436478196,2.59374962447989,3.4552308629032735
6,3.4140103751670074,1.1145271946643402,2.488966978479265,2.4967919935393397
7,11.190207745853579,1.1145271946643402,2.362142253805473,3.3792060373338844
8,9.890982989876425,1.605950886007912,2.3190368313650893,2.6026505732979395
9,20.06927968006322,1.605950886007912,2.071863629329305,4.4953936514056405
10,8.398960666307168,1.605950886007912,1.605950886007912,2.126153623165958
11,20.816231944145155,1.605950886007912,1.605950886007912,5.502371677236652
12,14.002915667520265,1.605950886007912,1.605950886007912,2.575334280985358
13,21.46315711574676,1.605950886007912,1.605950886007912,4.01427946737711
14,19.471454979893224,1.605950886007912,1.605950886007912,3.0311459868885438
15,19.447363088719047,1.605950886007912,1.605950886007912,5.1529525050723946
16,13.391088675308646,1.605950886007912,1.605950886007912,3.0640148256207045
17,14.430726904259384,1.605950886007912,1.605950886007912,3.251572971330743
18,15.569420469822415,1.605950886007912,1.605950886007912,3.6338195492927667
19,13.038429536008238,1.605950886007912,1.605950886007912,2.941845518490042
20,20.61494143132443,1.605950886007912,1.605950886007912,5.076228244476655
21,20.494677132275587,1.605950886007912,1.605950886007912,4.91237096962944
22,19.871074017667517,1.550743916277538,1.605950886007912,3.1054672866754536
23,15.96304764634508,1.550743916277538,1.605950886007912,2.8139052990459708
24,19.51407017193892,1.550743916277538,1.605950886007912,4.8794170268037815
25,19.696064893383795,1.550743916277538,1.5527010293390016,4.029499834167559
