Total Generations, Worst Fitness, Best Fitness, Median Fitness, Mean Fitness
1,83.71645252866199,27.39421650345587,59.22970334775662,58.62586450972269
2,100.35836987734824,21.192797974271347,51.328217178779624,47.81541749363991
3,82.4998669935606,15.421073431226949,29.256509964377383,33.318712427734305
4,75.56360402347187,11.516768362763115,22.612002387613412,26.732681893449893
5,75.70574019513086,18.206461559825204,21.192797974271347,26.742082193138636
6,85.90248195711143,19.552076313484882,21.192797974271347,32.71922016916431
7,83.82269856477754,16.124356642529406,21.192797974271347,29.935685549583138
8,64.97313634441635,13.048192747273688,19.552076313484882,22.203831297933654
9,82.46011715069274,3.299634963960317,19.552076313484882,22.452487930010456
10,70.71981126041032,3.299634963960317,16.124356642529406,20.637712051852397
11,72.47803735686182,3.299634963960317,13.048192747273688,18.15690768722864
12,75.1033193163243,3.322808105631157,13.048192747273688,16.335881980244203
13,77.1869785796542,3.322808105631157,8.130068170211153,14.682221032261287
14,69.74008940423406,3.322808105631157,6.589995612084925,13.942925431466264
15,71.77101197561564,2.1073649269366426,4.358703284404559,12.12362084876641
16,85.22732106028587,2.1073649269366426,3.322808105631157,12.8998858392916
17,90.52131439284865,2.0862149525950433,3.322808105631157,10.060218913898943
18,72.76369066804627,2.0862149525950433,2.7996864136502966,11.450257691163598
19,63.66393633969466,2.0862149525950433,2.737459971070294,7.505551127166759
20,61.00574114579429,1.5358206476770557,2.0862149525950433,9.99237548574072
21,72.51427990343906,1.4512782547791652,2.0862149525950433,15.454871801573612
22,77.18169020128836,1.4512782547791652,2.0862149525950433,10.662483953535334
23,69.56927914028897,1.4512782547791652,2.0862149525950433,17.09726025937156
24,74.50178560095111,1.4512782547791652,2.0862149525950433,12.611721483822603
25,65.16030515222796,1.4512782547791652,2.0862149525950433,8.565095380547097
26,109.01153771322517,1.4512782547791652,1.4512782547791652,17.239935959524548
27,88.8918688237607,1.4512782547791652,1.4512782547791652,7.162249608252074
28,94.8265510208047,1.4512782547791652,1.4512782547791652,12.01713599148854
29,87.0979671673775,1.4512782547791652,1.4512782547791652,7.624858481316461
30,69.14127546664311,1.4512782547791652,1.4512782547791652,7.752081502664838
31,61.60589469513686,1.4512782547791652,1.4512782547791652,10.623076374479572
32,60.61521966515667,1.4512782547791652,1.4512782547791652,8.090837095427641
33,102.8978364187213,1.4512782547791652,1.4512782547791652,13.585180246665999
34,81.29393031269676,1.4512782547791652,1.4512782547791652,17.762402381671777
35,47.28587235092776,1.4512782547791652,1.4512782547791652,7.853087288723924
36,67.55307011805289,1.4512782547791652,1.4512782547791652,9.77108935921054
37,98.06693061326793,1.4512782547791652,1.4512782547791652,16.219801913979744
38,109.80762949046607,1.4512782547791652,1.4512782547791652,10.690799685801004
39,68.07186885268615,1.4512782547791652,1.4512782547791652,8.670026929596707
40,46.259799445123164,1.4512782547791652,1.4512782547791652,10.640069125819782
